imdbId,year,director,writer,stars1,stars2
3774694,2015,Gaspar Noé,Gaspar Noé,Aomi Muyock,Karl Glusman
3170832,2015,Lenny Abrahamson,Emma Donoghue,Brie Larson,Jacob Tremblay
3687398,2015,Austin Stark,Austin Stark,Nicolas Cage,Sarah Paulson
4178092,2015,Joel Edgerton,Joel Edgerton,Jason Bateman,Rebecca Hall
246643,1924,sRMHFyqteX,CRaJWSdPKY,KlNAbogwpE,InmZyxOjPY
4263482,2015,Robert Eggers,Robert Eggers,Anya Taylor-Joy,Ralph Ineson
3877674,2015,Anders Thomas Jensen,Anders Thomas Jensen,David Dencik,Mads Mikkelsen
3793788,2016,Will Slocombe,Michael Doneger,Lyndsy Fonseca,Michael Doneger
1413314,4689,kwXeurAHFf,QdCbhkvSqi,escfIljHoY,xWbEpITKvJ
1329665,7935,ZxjtApbUfB,kwQptYnTzS,jrSHgXbqmn,qnNOKrAfDa
3567288,2015,M. Night Shyamalan,M. Night Shyamalan,Olivia DeJonge,Ed Oxenbould
1741273,2015,Billy Ray,Billy Ray,Chiwetel Ejiofor,Nicole Kidman
516,8107,iYsFoJmure,yiUrMPdVYQ,qzHVxCDQpe,OAQtJMdvXR
4705522,1690,JFDUVKvAMP,hbGBYdqMtK,YSsPnwvFlu,zGVnhXmBsy
4084744,2015,Sergey Mokritskiy,Maksim Budarin,Yuliya Peresild,Evgeniy Tsyganov
3316948,2015,Nima Nourizadeh,Max Landis,Jesse Eisenberg,Kristen Stewart
1398426,2015,F. Gary Gray,Jonathan Herman,O'Shea Jackson Jr.,Corey Hawkins
3813310,2015,Jon Watts,Jon Watts,Kevin Bacon,James Freedson-Jackson
830361,1492,wZCkxvLNyR,RWTIrmHPCZ,pqWNVYkCZB,KTDUnxpGcS
3824458,2015,Sean Baker,Sean Baker,Kitana Kiki Rodriguez,Mya Taylor
1706598,2014,Amy Berg,Nicole Holofcener,Diane Lane,Elizabeth Banks
225009,1991,Shozin Fukui,Shozin Fukui,Haji Suzuki,Onn-chan
2446980,2015,David O. Russell,David O. Russell,Jennifer Lawrence,Robert De Niro
1677720,2018,Steven Spielberg,Zak Penn,Tye Sheridan,Olivia Cooke
1976009,2015,Paul McGuigan,Max Landis,Daniel Radcliffe,James McAvoy
4600952,2017,Sarik Andreasyan,Andrey Gavrilov,Anton Pampushnyy,Sanjar Madi
77973,1978,Cheh Chang,Cheh Chang,Feng Lu,Sheng Chiang
1727776,2015,Christopher Landon,Carrie Lee Wilson,Tye Sheridan,Logan Miller
3077214,2015,Sarah Gavron,Abi Morgan,Carey Mulligan,Anne-Marie Duff
3457734,2014,Sarah-Violet Bliss,Sarah-Violet Bliss,Bridey Elliott,Clare McNulty
3672742,2015,François Simard,François Simard,Munro Chambers,Laurence Leboeuf
3816372,2014,Jason Lapeyre,Ron McGee,Sam Kindseth,Dylan Everett
3832914,2015,Alex Kendrick,Alex Kendrick,Priscilla C. Shirer,T.C. Stallings
3569230,2015,Brian Helgeland,Brian Helgeland,Tom Hardy,Emily Browning
3705412,2015,Jason Lei Howden,Jason Lei Howden,Milo Cawthorne,James Blake
810819,2015,Tom Hooper,David Ebershoff,Eddie Redmayne,Alicia Vikander
2490326,2014,Jonathan Milott,Leigh Whannell,Elijah Wood,Rainn Wilson
79679,1979,Georgiy Daneliya,Aleksandr Volodin,Oleg Basilashvili,Natalya Gundareva
75468,9763,HzbAJprNYV,GwhIPrsbZC,IYOWyrtqjz,eHMqfwTXOK
186408,1979,Mark Zakharov,Evgeniy Shvarts,Oleg Yankovskiy,Irina Kupchenko
67789,1972,Eldar Ryazanov,Emil Braginskiy,Yuriy Nikulin,Evgeniy Evstigneev
70439,1974,Franco Prosperi,Emil Braginskiy,Andrey Mironov,Ninetto Davoli
73442,1975,Leonid Gaidai,Vladlen Bakhnov,Mikhail Pugovkin,Nina Grebeshkova
65670,1971,Leonid Gaidai,Ilya Ilf,Archil Gomiashvili,Sergey Filippov
4425064,2015,Alex Gibney,Alex Gibney,Bob Belleville,Chrisann Brennan
4062536,2015,Jeremy Saulnier,Jeremy Saulnier,Anton Yelchin,Imogen Poots
1365050,2015,Cary Joji Fukunaga,Cary Joji Fukunaga,Abraham Attah,Emmanuel Affadzi
3487994,2015,Brian James O'Connell,Sean Cowhig,Fran Kranz,Pedro Pascal
4009460,2014,Darren Doane,Darren Doane,Kirk Cameron,Darren Doane
62083,1967,Édouard Molinaro,Claude Magnier,Louis de Funès,Claude Rich
3221698,2013,Eric Radomski,Henry Gilroy,Adrian Pasdar,Fred Tatasciore
3605418,2015,Eli Roth,Eli Roth,Keanu Reeves,Lorenza Izzo
296310,917,ESktoeKCFh,BshbfzXOuQ,GKMcwvWYfE,oVfbKFvEZC
1151911,2009,Daniel Maze,Darrin Grimwood,Steve Guttenberg,James Duval
1172049,2015,Jean-Marc Vallée,Bryan Sipe,Jake Gyllenhaal,Naomi Watts
643109,6820,CDtOIKdpaL,yOmPiAHrMY,lOabMfWrjU,vSaqCKGUAF
1018765,2015,David Gordon Green,Peter Straughan,Sandra Bullock,Billy Bob Thornton
462335,2015,Ben Wheatley,Amy Jump,Tom Hiddleston,Jeremy Irons
3530002,2015,Jonathan Levine,Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen
2625810,2015,Patricia Rozema,Patricia Rozema,Ellen Page,Evan Rachel Wood
3067274,2014,Adam Brooks,Adam Brooks,Paz de la Huerta,Adam Brooks
2719848,2015,Baltasar Kormákur,William Nicholson,Jason Clarke,Ang Phula Sherpa
3792960,2015,Jaco Van Dormael,Thomas Gunzig,Pili Groyne,Benoît Poelvoorde
1895587,2015,Tom McCarthy,Josh Singer,Mark Ruffalo,Michael Keaton
1596345,2014,Edward Zwick,Steven Knight,Tobey Maguire,Liev Schreiber
3072482,2015,Ilya Naishuller,Ilya Naishuller,Sharlto Copley,Tim Roth
2503944,2015,John Wells,Steven Knight,Bradley Cooper,Sienna Miller
4176776,2015,Takeshi Kitano,Takeshi Kitano,Tatsuya Fuji,Ben Hiura
315152,2002,Gérard Bitton,Gérard Bitton,Jean-Pierre Darroussin,Valeria Bruni Tedeschi
2965466,2014,Anthony DiBlasi,Anthony DiBlasi,Juliana Harkavy,Joshua Mikel
3702996,2015,Bora Dagtekin,Bora Dagtekin,Elyas M'Barek,Jella Haase
453671,2005,Priyadarshan,Priyadarshan,Akshay Kumar,John Abraham
3642618,2015,Wolfgang Murnberger,Josef Hader,Josef Hader,Tobias Moretti
2510894,2015,Genndy Tartakovsky,Robert Smigel,Adam Sandler,Andy Samberg
3475596,2015,Reg Traviss,Reg Traviss,Gregg Sulkin,Meghan Markle
805559,2007,Paul Hoen,Doreen Spicer,Corbin Bleu,Keke Palmer
1754656,2015,Mark Osborne,Irena Brignull,Jeff Bridges,Mackenzie Foy
1957938,2015,Justin Trefgarne,Justin Trefgarne,James Callis,Kerry Shale
3774466,2015,Tony McNamara,Tony McNamara,Mickey Rourke,Nat Wolff
451279,2017,Patty Jenkins,Allan Heinberg,Gal Gadot,Chris Pine
4287320,2017,James Ponsoldt,James Ponsoldt,Emma Watson,Tom Hanks
490215,2016,Martin Scorsese,Jay Cocks,Andrew Garfield,Adam Driver
3682448,2015,Steven Spielberg,Matt Charman,Tom Hanks,Mark Rylance
4034452,2015,Paul Gross,Paul Gross,Rossif Sutherland,Allan Hawco
3720058,2014,Leste Chen,Leste Chen,Jing Hu,Zhong Lü
1694021,2015,David Hackl,Guy Moshe,James Marsden,Thomas Jane
3327994,7340,uYXeRHpUiZ,QeKqHzYfxr,KrcYoxfDQl,GAjWXqtzLg
3560464,2015,SABU,SABU,Ken'ichi Matsuyama,Ito Ohno
2735292,2015,Martin Owen,Martin Owen,Andy Dick,Mischa Barton
475290,2016,Ethan Coen,Joel Coen,Josh Brolin,George Clooney
4144504,2015,Jerry Rothwell,Jerry Rothwell,Robert Hunter,Patrick Moore
4176826,2015,David Wnendt,David Wnendt,Oliver Masucci,Thomas M. Köppl
3597400,2014,Grant Baldwin,Jenny Rustemeyer,Grant Baldwin,Jenny Rustemeyer
2947832,2013,Steffen Haars,Steffen Haars,Sylvia Hoeks,Raymond Thiry
2537390,2015,Don Argott,Heather Maidat,Adam Pally,Megan Neuringer
2347134,2013,Sang-il Lee,David Webb Peoples,Ken Watanabe,Jun Kunimura
2191400,2013,Christoffer Boe,Christoffer Boe,Pilou Asbæk,Nicolas Bro
398563,2003,Ryûhei Kitamura,Tsutomu Takahashi,Yumiko Shaku,Takao Ohsawa
270288,2002,George Clooney,Chuck Barris,Sam Rockwell,Drew Barrymore
1051904,2015,Rob Letterman,Darren Lemke,Jack Black,Dylan Minnette
3862750,2015,David M. Rosenthal,Alan B. McElroy,Sanaa Lathan,Michael Ealy
3164256,2015,Barry Levinson,Mitch Glazer,Bill Murray,Leem Lubany
1817771,2015,Robbie Pickering,Oren Uziel,Nicholas Braun,Mackenzie Davis
2494362,2015,S. Craig Zahler,S. Craig Zahler,Kurt Russell,Patrick Wilson
3454574,2013,Raul Garcia,Edgar Allan Poe,Christopher Lee,Bela Lugosi
2910904,2015,Jocelyn Moorhouse,Rosalie Ham,Kate Winslet,Judy Davis
3626804,2014,Sebastian Dehnhardt,Sebastian Dehnhardt,Dirk Nowitzki,Holger Geschwindner
3203606,2015,Jay Roach,John McNamara,Bryan Cranston,Diane Lane
270560,2000,Craig Shapiro,Elizabeth Kruger,Ashley Olsen,Mary-Kate Olsen
71647,1973,Peter Fonda,Thomas Matthiesen,Kelly Bohanon,Kevin Hearst
187598,1999,Scott Hartford-Davis,Shane Brennan,Jacqueline Bisset,Cameron Daddo
3322364,2015,Peter Landesman,Peter Landesman,Will Smith,Alec Baldwin
2452042,2015,Steve Martino,Craig Schulz,Noah Schnapp,Bill Melendez
172184,1999,Elvis Restaino,George Saunders,Daniel Bernhardt,Ivan Ivanov
216755,1984,Mark Zakharov,Grigori Gorin,Elena Valyushkina,Aleksandr Mikhaylov
92745,1987,Alla Surikova,Eduard Akopov,Andrey Mironov,Aleksandra Yakovleva-Aasmyae
83100,9140,fyjQahCNBq,RAHIskfLVJ,ETSmIferGx,CWlQiVzxtX
3748440,2016,Lev L. Spiro,Eric Falconer,Alan Ritchson,Darin Brooks
118983,1997,Yash Chopra,Tanuja Chandra,Shah Rukh Khan,Madhuri Dixit
4272866,2015,Mamoru Hosoda,Mamoru Hosoda,John Swasey,Randy E. Aguebor
3076658,2015,Ryan Coogler,Ryan Coogler,Michael B. Jordan,Sylvester Stallone
2065968,2011,Tom Owens,Adam F. Goldberg,Jay Baruchel,Gerard Butler
2980626,2015,Samantha Futerman,Samantha Futerman,Anaïs Bordier,Samantha Futerman
5184298,2015,Mike Thurmeier,Yoni Brenner,Ray Romano,John Leguizamo
1291570,2015,Afonso Poyart,Sean Bailey,Anthony Hopkins,Jeffrey Dean Morgan
3593046,2016,Trey Nelson,Trey Nelson,Josh Duhamel,Josh Wiggins
82726,1981,Claude Berri,Claude Berri,Coluche,Josiane Balasko
